EfisProjectId,Id,ProjectEa,ProjectName,District,CountyCode,RouteCode,PostMileBegin,PostMileEnd,ScheduleStartDate,ScheduleFinishDate,M040_BeginProj,M800_ENDPROJ
0100000117,07/18/1923,01-36320,0100000117 - Roadway Rehabilitation,01,HUM,101,48.7,56.3,35400,43795,38169,43097
0100000118,07/19/1923,01-36330,0100000118 - Roadway Rehabilitation,01,HUM,101,79.8,87.8,35370,42552,35370,41913
0100000125,10/07/1976,01-36432,0100000125 - Culvert Rehabilitation,01,MEN,020,13.8,32,39814,46361,39967,46361
0100000126,07/24/1923,01-36460,0100000126 - Replace Bridges,01,59V01,169,0,0,35370,43830,37438,43192
0100000127,07/27/1923,01-36600,0100000127 - Eureka-Arcata Corridor Improvement,01,HUM,101,80,84,35431,47364,37073,46722
0100000129,08/14/1923,01-37801,0100000129 - Replace Bridge,01,MEN,001,59.9,60.7,35632,44323,,43195
0100000132,10/08/1976,01-37812,0100000132 - Culvert Rehabilitation,01,59V01,253,0.2,9.9,38530,47820,,47457
0100000133,10/09/1976,01-37813,0100000133 - Culvert Rehabilitation,01,MEN,128,30.1,48.4,38530,47820,,47457
0100000134,10/10/1976,01-37814,0100000134 - CULVERT REHABILITATION,01,MEN,128,10.6,23.3,38530,47820,,47457
0100000135,10/11/1976,01-37815,0100000135 - Culvert Rehabilitation,01,MEN,253,0,0,35370,47911,,47578
0100000136,10/12/1976,01-37816,0100000136 - Culvert Rehabilitation,01,MEN,128,14.3,40.6,38530,47820,,47457
0100000137,10/13/1976,01-37817,0100000137 - Culvert Rehabilitation,01,MEN,128,0.2,11.1,38530,47820,,47457
0100000138,08/22/1923,01-38050,0100000138 - Replace Bridge (Scour),01,MEN,222,0.98,1.6,35711,46474,,46474
0100000141,08/31/1923,01-38570,0100000141 - Replace Bridge & Phase 2 Seismic Retrofit,01,MEN,001,69.4,70.1,35796,46326,,45843
0100000143,09/01/1923,01-38572,0100000143 - Fish Passage/Culvert Rehab,01,MEN,001,88.7,92.8,35796,46660,39083,46326
0100000145,09/09/1923,01-39751,0100000145 - Realign Highway with two bridges,01,MEN,101,98.9,100.8,36039,45622,37803,43238
0100000146,09/10/1923,01-39752,0100000146 - DECOMMISSION EXISTING ROADWAY,01,MEN,101,98.9,100.8,39448,44658,,
0100000148,09/11/1923,01-39754,0100000148 - Decommission Existing Roadway,01,MEN,101,98.9,100.8,38706,44229,,43598
0100000149,11/09/1976,01-39755,0100000149 - Confusion Hill Mitigation,01,MEN,101,100.4,100.2,38750,43098,39448,42457
0100000154,09/15/1923,01-40110,0100000154 - Albion River Bridge,01,MEN,001,43.3,44.2,36161,49522,40454,48884
0100000155,09/17/1923,01-40140,0100000155 - Salmon Creek Bridge,01,MEN,001,42.4,43.3,36161,50601,41091,49963
0100000156,11/10/1976,01-40280,0100000156 - Culvert Rehabilitation,01,MEN,101,50.1,84.6,36161,45108,38899,44470
0100000158,11/11/1976,01-40950,0100000158 - Updrade Drainage Systems,01,HUM,254,6.87,42.13,36526,46326,41821,46326
0100000160,11/12/1976,01-41020,0100000160 - VERTICAL CURVE IMPROVEMENT,01,LAK,029,27.4,28,40544,44326,,
0100000166,10/14/1923,01-41221,0100000166 - Rehab Culvert,01,MEN,101,84,0,37718,44834,39479,44256
0100000167,10/17/1923,01-4146V,0100000167 - Rehabilitate Roadway and Realign Curves,01,LAK,020,38.5,42,38343,44692,,44302
0100000168,11/13/1976,01-42110,0100000168 - PLACE RSP AND CONSTRUCT SPUR DIKES,01,LAK,029,9.7,9.7,36526,41822,,
0100000170,11/14/1976,01-42280,0100000170 - STABILIZE SLIDE,01,HUM,101,102.1,0,36892,44068,,42948
0100000172,10/14/1945,01-42370,0100000172 - Reconstruct Roadway,01,HUM,299,20.2,20.5,36749,47087,40115,46752
0100000173,11/15/1976,01-42400,0100000173 - Install RSP,01,MEN,101,6,0,36892,42408,,
0100000174,10/21/1923,01-42420,0100000174 - OGAC SURFACING AND ITS SIGNING,01,HUM,101,109.5,112.5,36892,41822,,
0100000176,11/16/1976,01-42510,0100000176 - REPLACE FENCE,01,MEN,128,28,28,37257,43026,,42387
0100000178,11/17/1976,01-42630,0100000178 - INSTALL PORTABLE HOIST,01,DN,199,28.2,28.2,37622,45261,,43588
0100000179,11/18/1976,01-42640,0100000179 - 169 Replace Culvert,01,DN,169,2.24,2.24,37622,42968,,42324
0100000180,11/19/1976,01-42780,0100000180 - LAK 20/29 Culvert Rehab,01,LAK,VAR,0,0,36921,48000,40762,47665
0100000185,10/29/1923,01-43050,0100000185 - CURVE IMPROVEMENT AND WIDEN,01,HUM,169,33.5,33.8,36892,46478,37073,45839
0100000186,10/30/1923,01-43060,0100000186 - Replace Bridge Rails & Widen Shoulder,01,HUM,254,0.8,43,36990,44323,39630,44159
0100000188,11/20/1976,01-43170,0100000188 - CULVERT REHABILITATION,01,59V01,254,0,0,36655,44462,38534,44018
0100000189,11/21/1976,01-43180,0100000189 - Culvert Rehabilitation,01,59V01,271,54.6,95.9,36656,44462,37500,43864
0100000190,11/22/1976,01-43260,0100000190 - Widen Shoulders - Construct Traffic Mitigation Measure,01,LAK,020,9.3,12.1,37257,43896,,42941
0100000193,11/04/1923,01-43640,0100000193 - Dr. Fine Bridge Replacement,01,DN,101,35.8,36.5,37183,48100,38961,47211
0100000194,11/23/1976,01-43740,0100000194 - Buttress Slope & Reconstruct,01,HUM,299,30.7,0,37159,43737,39264,43098
0100000195,11/24/1976,01-43790,0100000195 - REHABILITATE DRAINAGE FACILITIES,01,HUM,036,41.8,41.9,37987,46721,,42324
0100000197,11/07/1923,01-43840,0100000197 - Pave the Median & Install Median Barrier,01,HUM,101,58.8,70,37257,43252,37862,42612
0100000199,11/25/1976,01-43980,0100000199 - Rehabilitate Culverts,01,HUM,299,7.5,28.8,37987,46901,,41428
0100000202,11/26/1976,01-44100,0100000202 - REPAIR DRAINAGE FACILITY,01,MEN,001,1.8,0,37622,46135,,41666
0100000204,11/27/1976,01-44120,0100000204 - CULVERT REHABILITATION,01,HUM,101,37.7,37.7,36708,42369,38169,41691
0100000205,11/28/1976,01-44130,0100000205 - Install Safety Lighting,01,59V01,020,0,0,37622,41866,,
0100000207,11/29/1976,01-44310,0100000207 - ROUNDABOUT,01,MEN,175,1.1,1.2,37533,44426,37591,41631
0100000209,11/30/1976,01-44650,0100000209 - Anchor Bay Drainage,01,MEN,001,4.47,4.47,37622,51380,,45992
0100000212,11/17/1923,01-44750,0100000212 - MENDOCINO CNTY N. LAYTONVILLE-RATTLESNAKE Ck BR #10-0027,01,MEN,101,81.4,0,37718,43746,38231,43108
0100000217,02/04/1948,01-44940,0100000217 - Remove and Replace Portland Concrete,01,MEN,101,21.1,33.7,39241,44699,39630,41463
0100000219,11/18/1923,01-45090,0100000219 - Install Metal Beam Guardrail,01,HUM,169,13.6,23.4,37869,44420,38899,44063
0100000221,12/21/1976,01-45180,0100000221 - GARBERVILLE N. MONSCHKE U.C. AND S. DEAN CK BR,01,59V01,101,0,0,37536,41495,,41495
0100000223,11/20/1923,01-45240,0100000223 - Reconstruct MBGR,01,HUM,096,16,18.7,37979,42851,37999,42612
0100000228,12/22/1976,01-45470,0100000228 - Widening,01,LAK,029,7.4,8,37987,41974,38261,41730
0100000229,12/23/1976,01-45490,0100000229 - Widening,01,DN,197,3.2,4,36708,46125,39203,44774
0100000232,12/24/1976,01-45570,0100000232 - Repair Slope/Install Weir,01,59V01,128,0,0,37987,42370,,
0100000236,12/25/1976,01-45730,0100000236 - REPLACE CULVERT,01,HUM,101,53.5,0,38353,41822,,
0100000239,12/26/1976,01-45880,0100000239 - ESTABLISH OAK WOODLAND CONSERVATION BANK,01,59V01,VAR,19.1,19.1,38353,43314,,
0100000240,12/27/1976,01-45910,0100000240 - REPAIR DRAINAGE FACILITIES,01,59V01,254,0,0,37536,44696,,44058
0100000244,12/28/1976,01-45990,0100000244 - Upgrade Electrical Services,01,HUM,101,17.5,17.9,38718,42963,,42324
0100000248,10/14/1976,01-46160,0100000248 - Intersection Channelized to be Modified,01,LAK,029,10.9,11.3,38353,42005,,
0100000253,10/15/1976,01-46270,0100000253 - Realign and Channelize Offramp,01,HUM,101,64.3,64.3,38353,41822,,
0100000254,10/16/1976,01-46290,0100000254 - Shoulder Widening,01,LAK,029,15,15.3,38353,43128,38478,42592
0100000255,10/17/1976,01-46330,0100000255 - Modify Maintenance Station,01,HUM,096,0.6,0,36708,42370,39311,42188
0100000256,10/18/1976,01-46340,0100000256 - Modify Culvert,01,HUM,101,40.1,0,38718,41822,,
0100000257,11/27/1923,01-46350,0100000257 - Modify Building,01,HUM,101,83.4,83.4,38353,41799,,
0100000258,10/19/1976,01-46400,0100000258 - Reconstruct Guard Railing,01,HUM,101,0.2,126,38544,43815,38868,42674
0100000259,08/20/1946,01-46410,0100000259 - Reconstruct Guard Railing,01,DN,101,0,0,38718,46699,,42278
0100000260,05/04/1948,01-46420,0100000260 - Reconstruct Guard Railing,01,MEN,020,0.27,44.31,38909,43964,39783,42821
0100000261,10/20/1976,01-46430,0100000261 - Reconstruction - Guard Railing,01,MEN,101,0.1,101.6,38544,42006,38899,41530
0100000262,08/31/1946,01-46440,0100000262 - Reconstruct Metal Beam Guard Rail,01,LAK,020,6.3,52.2,38909,42278,39520,42202
0100000264,10/21/1976,01-46460,0100000264 - Install Radar Sign,01,MEN,001,47.4,0,38718,41822,,
0100000266,11/28/1923,01-46480,0100000266 - Realign Roadway,01,HUM,101,1.1,2.5,38567,47604,42005,47270
0100000270,10/22/1976,01-46680,0100000270 - Construct Interpretive Center,01,LAK,020,10.4,10.5,38808,43252,39881,42576
0100000276,10/23/1976,01-46760,0100000276 - Seal Coat,01,MEN,162,0,7.1,39448,41822,,
0100000277,10/24/1976,01-46840,0100000277 - SLIDE AND ROADWAY REPAIR,01,MEN,162,16,16.2,38718,44228,,41921
0100000279,10/25/1976,01-46860,0100000279 - SLIDE REMOVAL,01,MEN,020,25.7,0,38718,41822,,
0100000280,10/26/1976,01-46870,0100000280 - REPAIR CULVERT AND ROADWAY,01,MEN,253,5.4,5.4,38718,41822,,
0100000281,10/27/1976,01-46890,0100000281 - REPAIR CULVERT AND ROADWAY,01,MEN,101,36.6,0,38718,41822,,
0100000282,10/28/1976,01-46900,0100000282 - REPAIR SLIPOUT,01,HUM,036,43.4,43.4,38718,42491,,42466
0100000283,10/29/1976,01-46910,0100000283 - REPAIR ROADWAY SINK,01,MEN,253,7.5,7.5,38718,43153,,42467
0100000284,10/30/1976,01-46920,0100000284 - SLIDE REMOVAL & ROADWAY REPAIR,01,HUM,096,8.4,8.4,38718,41822,,
0100000286,10/31/1976,01-46940,0100000286 - Install Guard Railing,01,MEN,101,106.5,0,38718,41822,,
0100000288,12/03/1923,01-46980,0100000288 - CONSTRUCT WALL & REPAIR ROAD,01,MEN,101,92.7,0,38718,43466,,42467
0100000291,12/04/1923,01-47010,0100000291 - Remove Slide Material and Repair Retaining Walls,01,MEN,101,99.5,100.5,38718,41822,,
0100000293,12/05/1923,01-47021,0100000293 - Restore Roadway,01,HUM,101,41.5,41.9,36389,43818,38889,43159
0100000295,11/01/1976,01-47040,0100000295 - REPAIR ROADWAY SLIPOUT,01,MEN,128,31.5,31.5,38718,42478,,42478
0100000296,11/02/1976,01-47050,0100000296 - REPAIR ROADWAY SLIPOUT,01,HUM,169,16.2,0,38718,42339,,41933
0100000298,11/03/1976,01-47070,0100000298 - REPAIR ROADWAY SLIPOUT,01,MEN,001,10.1,0,38718,42467,,
0100000299,11/04/1976,01-47080,0100000299 - Repair Roadway Slipouts,01,HUM,036,19.2,28.5,38718,46327,,45226
0100000301,11/05/1976,01-47110,0100000301 - REPAIR SLIDE,01,HUM,101,26.1,26.1,38718,42325,,41940
0100000302,11/06/1976,01-47120,0100000302 - REPAIR ROADWAY SINK,01,MEN,101,34,36,38718,41822,,
0100000303,12/06/1923,01-47130,0100000303 - REPAIR ROADWAY SLIPOUT,01,LAK,020,22.2,22.2,38718,41822,,
0100000304,11/07/1976,01-47140,0100000304 - REPAIR ROADWAY SLIPOUT,01,HUM,101,49.2,49.5,38718,41822,,
0100000305,11/08/1976,01-47150,0100000305 - REPAIR ROADWAY SLIPOUT,01,HUM,096,25.2,25.2,38718,41822,,
0100000309,12/08/1923,01-47210,0100000309 - Construct MSE Wall,01,HUM,299,21.5,21.5,38800,42774,,41105
0100000310,03/28/1947,01-47220,"0100000310 - Reconstruct Roadway, Repair Slope",01,HUM,096,3,20.4,38800,42006,,41320
0100000311,12/01/1976,01-47230,0100000311 - Repair Roadway & Drainage,01,HUM,096,26.9,44.1,38800,43556,,42901
0100000312,12/02/1976,01-47240,0100000312 - Repair Roadway & Wall,01,HUM,096,23,23.8,39083,42005,,
0100000313,12/09/1923,01-47260,0100000313 - Repair Storm Damage,01,MEN,001,82,82.3,38800,43281,,42642
0100000315,12/03/1976,01-47280,0100000315 - Repair Storm Damage,01,MEN,001,95.2,102.4,38800,43556,,42395
0100000316,12/04/1976,01-47290,0100000316 - Repair Storm Damage,01,MEN,001,7.3,76.1,38800,43830,,43189
0100000317,12/10/1923,01-47320,0100000317 - REPAIR CULVERT,01,MEN,101,2.2,2.2,38718,41822,,
0100000318,12/05/1976,01-47330,0100000318 - REPAIR CULVERT & ROADWAY,01,MEN,001,72,72,38718,42468,,42468
0100000319,12/06/1976,01-47340,0100000319 - UPGRADE DRAINAGE,01,MEN,001,66,0,38718,46236,,42324
0100000321,12/11/1923,01-47380,0100000321 - REPAIR STORM DAMAGE,01,MEN,001,85.1,92.4,42469,46121,,
0100000323,12/07/1976,01-47400,0100000323 - Repair Storm Damage,01,MEN,101,36,37,38800,46697,,42332
0100000324,12/08/1976,01-47410,0100000324 - Repair Storm Damage,01,MEN,128,50.5,50.9,38800,44621,,44018
0100000325,12/13/1923,01-47430,0100000325 - Repair Storm Damage,01,HUM,096,21.8,21.8,36389,42781,,42397
0100000330,12/15/1923,01-47480,0100000330 - Repair Storm Damage,01,MEN,001,38.5,38.8,36389,46326,,46208
0100000331,12/16/1923,01-47490,0100000331 - Repair Storm Damage,01,MEN,001,70.3,70.7,38800,47820,,47457
0100000333,06/27/1946,01-47501,0100000333 - Repair Storm Damage,01,HUM,254,5.8,5.9,36389,46539,,46446
0100000334,12/09/1976,01-47502,0100000334 - Repair Storm Damage,01,HUM,254,11,11.1,36389,46653,,46240
0100000335,12/18/1923,01-47510,0100000335 - Repair Storm Damage,01,HUM,254,5.1,0,36389,43437,,42797
0100000336,12/10/1976,01-47520,0100000336 - Repair Storm Damage,01,HUM,254,22.3,40.1,38800,45929,,45503
0100000337,12/11/1976,01-47521,0100000337 - Storm Damage Repair,01,HUM,254,42.2,42.2,38800,41275,,41124
0100000338,12/12/1976,01-47530,0100000338 - Repair Storm Damage,01,HUM,254,1.1,23.2,36389,43552,,42915
0100000339,12/19/1923,01-47540,"0100000339 - Improve Vertical Curve, Excavate Failed AC Subgrade",01,HUM,036,20.8,21,38799,41953,,41361
0100000340,12/13/1976,01-47550,0100000340 - Repair Storm Damage,01,HUM,036,23.3,28.2,38800,43468,,43283
0100000341,12/20/1923,01-47560,0100000341 - Repair Storm Damage,01,HUM,036,29,29.5,38800,43838,,42838
0100000342,12/21/1923,01-47570,0100000342 - Repair Storm Damage,01,HUM,036,40.4,0,39083,41799,,
0100000343,11/18/1947,01-47580,0100000343 - Repair Storm Damage,01,HUM,036,39.5,39.5,36389,43466,,42824
0100000345,12/14/1976,01-47600,0100000345 - Repair Storm Damage,01,MEN,253,7.7,11,38800,43461,,42821
0100000346,12/23/1923,01-47610,0100000346 - Repair Storm Damage,01,MEN,253,1.7,2.3,36389,44099,,43097
0100000347,12/24/1923,01-47620,0100000347 - Repair Storm Damage,01,MEN,253,7.2,8.3,36389,46295,,45729
0100000348,12/15/1976,01-47630,0100000348 - Repair Storm Damage,01,MEN,162,11,12,36389,44911,,44284
0100000349,12/16/1976,01-47640,0100000349 - Repair Storm Damage,01,MEN,162,19.7,30,39083,42300,,41438
0100000350,12/17/1976,01-47650,0100000350 - Repair Storm Damage,01,MEN,162,14,19.8,36389,43251,,42611
0100000351,12/25/1923,01-47660,0100000351 - Repair Storm Damage,01,MEN,128,34.5,35.5,36389,47087,,46827
0100000352,12/18/1976,01-47670,0100000352 - Replace Damaged Culvert Outlet and Line Entire Culvert,01,MEN,001,62.5,0,39083,41822,,
0100000353,12/26/1923,01-47690,"0100000353 - Remove & Reconstruct Hinges at Spans 2, 8, and 11",01,DN,101,4,4.4,38943,46539,39560,46204
0100000354,12/19/1976,01-47710,0100000354 - Repair Storm Damage,01,59V01,175,0,0,38800,43467,,42821
0100000355,12/20/1976,01-47730,0100000355 - Repair Storm Damage,01,MEN,020,9.4,0,38800,42188,,41904
0100000358,12/30/1923,01-47770,0100000358 - Repair Storm Damage,01,MEN,101,82,84,38800,43217,,42642
0100000359,01/14/1977,01-47780,0100000359 - Repair Storm Damage,01,MEN,101,34.5,43.8,38800,42310,,42177
0100000362,01/15/1977,01-47810,0100000362 - Repair Storm Damage,01,MEN,101,1.5,6.5,38800,42200,,41694
0100000363,01/16/1977,01-47820,0100000363 - Repair Storm Damage,01,HUM,169,21.8,27.6,36389,43278,,42634
0100000364,12/31/1923,01-47830,0100000364 - Repair Storm Damage,01,HUM,169,18,19.8,36389,43894,,43159
0100000365,01/17/1977,01-47850,0100000365 - Repair Storm Damage,01,HUM,169,20.5,32.9,36389,43830,,43195
0100000366,01/18/1977,01-47860,0100000366 - Repair Storm Damage,01,HUM,101,86.4,87,38800,46699,,41512
0100000367,01/19/1977,01-47870,0100000367 - Install Culvert,01,HUM,101,96.3,96.3,39083,41822,,
0100000371,01/02/1924,01-47940,0100000371 - HP21LUL-6201(007),01,DN,199,20.5,25.7,39071,46997,39264,45603
0100000374,01/20/1977,01-47970,0100000374 - Roadside Radio Stations,01,59V01,299,22.1,22.2,39083,44682,,41565
0100000377,01/21/1977,01-48020,0100000377 - Widen and Signalize Intersection,01,MEN,001,59.2,59.3,39083,42838,39142,42397
0100000378,01/22/1977,01-48050,0100000378 - Install Roundabout,01,LAK,020,11.9,12.4,39083,43920,39680,43278
0100000381,01/05/1924,01-48071,0100000381 - Construct Tieback Wall and Restore Roadway,01,HUM,101,32,33.2,39260,44493,,43634
0100000383,01/06/1924,01-48091,0100000383 - Repair Storm Damage,01,HUM,096,8.5,8.7,39083,41799,,
0100000385,12/29/1976,01-48110,0100000385 - Widening,01,DN,197,4.5,4.5,36710,45674,39173,44621
0100000393,12/30/1976,01-48210,0100000393 - Widen Shoulder and Install OGAC,01,MEN,020,4.7,4.9,39083,42504,,42432
0100000396,12/31/1976,01-48240,0100000396 - Environmental Mitigation-Mouth of Mad River,01,HUM,299,0.72,0.7,39083,46543,39301,46208
0100000398,01/01/1977,01-48270,0100000398 - Construct Cable Mesh Drapery System,01,DN,199,18.3,18.6,39083,43406,39569,42765
0100000399,01/07/1924,01-48280,0100000399 - Repair Bridge Decks,01,DN,101,0,0,39448,42187,,41730
0100000402,01/10/1924,01-48310,0100000402 - Repair Bridge Decks,01,LAK,029,9.7,20.4,39448,44316,,
0100000403,01/11/1924,01-48320,0100000403 - Repair Bridge Decks,01,HUM,101,89.5,89.5,39448,41799,,
0100000405,01/02/1977,01-48360,0100000405 - INSTALL SIGNS & FLASHING BEACONS,01,DN,199,18.1,18.8,39448,41822,,
0100000407,01/03/1977,01-48380,0100000407 - REPAIR CULVERT,01,MEN,101,3.2,3.5,39406,42408,,42408
0100000410,01/04/1977,01-48500,0100000410 - Install 'Vehicle Speed Feedback Sign',01,MEN,001,33.9,33.9,39448,41822,,
0100000411,01/05/1977,01-48510,0100000411 - Rock-Lined Ditch,01,HUM,299,21.1,0,39448,44805,,43044
0100000412,01/06/1977,01-48520,0100000412 - Install CCTV Systems,01,HUM,VAR,0,0,40544,42507,,
0100000414,01/13/1924,01-48531,0100000414 - STORM DAMAGE REPAIR,01,HUM,096,16.9,17.1,39448,42851,,
0100000417,01/07/1977,01-48560,0100000417 - Bonded Wearing Course,01,MEN,101,55.2,64.7,39448,44021,,40343
0100000418,01/08/1977,01-48570,0100000418 - CULVERT REPAIR,01,MEN,253,2.7,0,39435,42128,,41927
0100000419,01/09/1977,01-48580,0100000419 - REPAIR STORM DAMAGE - SLIPOUT,01,MEN,128,4.2,7.9,39448,44652,,43663
0100000420,06/22/1946,01-48590,0100000420 - Clean and Paint Bridge,01,MEN,001,104.9,105,39448,42005,,41975
0100000422,08/12/1946,01-48620,0100000422 - Clean and Paint Bridges,01,59V01,101,0,0,39448,43357,,41978
0100000423,01/10/1977,01-48630,0100000423 - Replace Traffic Signal Heads,01,HUM,101,77.5,78.7,39448,41822,,
0100000427,01/11/1977,01-48680,0100000427 - Replace Concrete Pavement,01,MEN,101,30,31.9,39448,41822,,
0100000433,01/12/1977,01-48750,0100000433 - SHOULDER WIDENING,01,LAK,029,20.4,20.6,39814,45261,,43588
0100000434,01/13/1977,01-48810,0100000434 - Pedestrian/Bicyclist Activated Sign,01,HUM,096,10.4,11,39448,41822,,
0100000436,01/15/1924,01-48830,0100000436 - Storm Damage Repair,01,HUM,101,111,112,39448,43921,,42677
0100000438,02/10/1977,01-48860,0100000438 - Improve Intersections,01,LAK,020,8.1,8.55,39448,44410,41126,44145
0100000439,02/11/1977,01-48870,0100000439 - REPAIR FREEWAY FENCE,01,59V01,053,0,0,39632,42870,,41087
0100000442,10/08/1946,01-48900,0100000442 - Clean & Paint Tunnel,01,DN,199,33.5,33.9,38225,41820,,41600
0100000445,11/28/1945,01-48940,0100000445 - Safety/Traffic Calming,01,HUM,255,0,8.3,39706,41455,,
0100000446,02/12/1977,01-48950,0100000446 - Safety/Operational Improvements,01,HUM,101,75,78,39814,47731,,41847
0100000447,02/13/1977,01-48960,0100000447 - Bank Stabilization,01,HUM,254,42.2,42.2,39814,44470,,44440
0100000448,02/14/1977,01-48970,0100000448 - Install Lighting,01,LAK,029,6.4,0,39814,41822,,
0100000453,02/15/1977,01-49030,0100000453 - Install Rumble Strips,01,HUM,299,0,7.1,39814,41799,,
0100000454,02/16/1977,01-49040,0100000454 - Install Rumble Strips,01,HUM,299,7.2,43.1,39791,43226,,42586
0100000455,09/19/1991,01-49050,0100000455 - Bonded Wearing Course,01,59V01,101,0,0,42845,43363,,
0100000456,02/17/1977,01-49060,0100000456 - Install Rumble Strips,01,HUM,101,79.9,87.9,39814,42017,,
0100000457,06/15/1948,01-49070,0100000457 - OGAC OVERLAY,01,MEN,020,19.9,26.3,39814,46553,,42011
0100000458,11/08/1947,01-49080,0100000458 - Install Rumble Strips,01,MEN,101,51.9,55.1,39814,42188,,42010
0100000462,02/18/1977,01-49130,0100000462 - AC Overlay,01,HUM,101,112.5,114.5,40544,42076,,
0100000463,02/19/1977,01-49140,0100000463 - Rumble Strips,01,DN,101,39.6,43.7,39801,41614,39921,41453
0100000467,02/20/1977,01-49190,0100000467 - REPLACE CULVERTS,01,MEN,162,5.4,20,39814,42969,,42324
0100000469,02/21/1977,01-49230,"0100000469 - Install ""Vehicle Speed Feedback"" signs (2 locations)",01,59V01,255,3.3,4.7,39814,42435,,
0100000470,02/22/1977,01-49240,0100000470 - Install MBGR and Chain Link Fencing (5 locations),01,59V01,VAR,0,0,40544,42508,,
0100000473,02/23/1977,01-49300,0100000473 - Replace AC Surfacing,01,HUM,101,70,79.8,38224,41348,,41312
0100000476,02/24/1977,01-49330,0100000476 - Culvert Rehabilitation,01,HUM,169,24.13,33.23,39814,45881,,45516
0100000477,02/25/1977,01-49340,0100000477 - REPLACE CULVERTS (4 LOCATIONS),01,59V01,169,24.1,26.9,39814,42470,,
0100000478,12/14/1947,01-49370,0100000478 - Shoulder Widening/Light Guard Crosswalk,01,HUM,096,11,13.2,40179,43889,41290,43251
0100000482,02/26/1977,01-49450,0100000482 - Place Signal Interconnect Cable,01,HUM,101,76.2,77.4,40179,42470,,
0100000485,02/27/1977,01-49480,0100000485 - Place OGFC HMA Overlay,01,MEN,101,25.9,26.2,40179,42324,,42324
0100000487,02/28/1977,01-49510,0100000487 - Install Crosswalks and Bike Lanes,01,MEN,001,14.9,15.2,40179,42963,,42324
0100000489,03/01/1977,01-49540,0100000489 - Install Sidewalks & other Traffic Calming Measures,01,DN,199,4.9,6.3,40006,42767,41014,42767
0100000490,03/02/1977,01-49550,0100000490 - Rumble Strips,01,MEN,101,81.3,84.7,39993,42188,40057,41843
0100000493,03/03/1977,01-49610,0100000493 - CONSTRUCT SIDEWALK AND PEDESTRIAN FENCING,01,HUM,101,76.6,77.1,40179,42963,,42324
0100000494,03/04/1977,01-49630,0100000494 - Fernbridge Bicycle Signs,01,HUM,211,77.3,78.6,40179,42996,,42324
0100000672,12/09/1946,01-43480,0100000672 - Widen Bridge and Upgrade Bridge Rail,01,MEN,001,61.99,62.26,37561,48335,41186,48000
0100000673,03/05/1977,01-46530,0100000673 - Yurok Tribe Transportation Corridor,01,DN,101,2.7,8.8,36708,43520,40182,42824
